"program_name","level_id","stress","median","measurement_type","percent_specified"
"list",1,32,2.333047,"gradual",0.917431192660551
"list",1,32,2.297176,"framing",0.917431192660551
"list",1,32,2.378774,"dynamic",0.917431192660551
"list",2,32,2.341107,"gradual",1.8348623853211
"list",2,32,2.3070775,"framing",1.8348623853211
"list",2,32,2.3894025,"dynamic",1.8348623853211
"list",3,32,2.3486615,"gradual",2.75229357798165
"list",3,32,2.377381,"framing",2.75229357798165
"list",3,32,3.5356885,"dynamic",2.75229357798165
"list",4,32,2.364712,"gradual",3.6697247706422
"list",4,32,2.5735675,"framing",3.6697247706422
"list",4,32,2.901814,"dynamic",3.6697247706422
"list",5,32,2.318184,"gradual",4.58715596330275
"list",5,32,2.56705,"framing",4.58715596330275
"list",5,32,2.957458,"dynamic",4.58715596330275
"list",6,32,2.442632,"gradual",5.5045871559633
"list",6,32,2.2612555,"framing",5.5045871559633
"list",6,32,2.913416,"dynamic",5.5045871559633
"list",7,32,2.37848,"gradual",6.42201834862385
"list",7,32,2.320433,"framing",6.42201834862385
"list",7,32,2.9125985,"dynamic",6.42201834862385
"list",8,32,2.404459,"gradual",7.3394495412844
"list",8,32,2.3648885,"framing",7.3394495412844
"list",8,32,2.966672,"dynamic",7.3394495412844
"list",9,32,2.434447,"gradual",8.25688073394496
"list",9,32,2.446791,"framing",8.25688073394496
"list",9,32,3.059421,"dynamic",8.25688073394496
"list",10,32,2.3967645,"gradual",9.1743119266055
"list",10,32,2.313813,"framing",9.1743119266055
"list",10,32,2.9714625,"dynamic",9.1743119266055
"list",11,32,2.5093245,"gradual",10.0917431192661
"list",11,32,3.5473355,"framing",10.0917431192661
"list",11,32,3.4349745,"dynamic",10.0917431192661
"list",12,32,2.361837,"gradual",11.0091743119266
"list",12,32,2.2766845,"framing",11.0091743119266
"list",12,32,3.516787,"dynamic",11.0091743119266
"list",13,32,2.3809845,"gradual",11.9266055045872
"list",13,32,2.311258,"framing",11.9266055045872
"list",13,32,3.590157,"dynamic",11.9266055045872
"list",14,32,2.367122,"gradual",12.8440366972477
"list",14,32,2.4440665,"framing",12.8440366972477
"list",14,32,3.659694,"dynamic",12.8440366972477
"list",15,32,2.9092595,"gradual",13.7614678899083
"list",15,32,2.3430425,"framing",13.7614678899083
"list",15,32,6.87411,"dynamic",13.7614678899083
"list",16,32,2.995133,"gradual",14.6788990825688
"list",16,32,2.3982585,"framing",14.6788990825688
"list",16,32,7.1527315,"dynamic",14.6788990825688
"list",17,32,2.9811355,"gradual",15.5963302752294
"list",17,32,2.30088,"framing",15.5963302752294
"list",17,32,7.110621,"dynamic",15.5963302752294
"list",18,32,3.380738,"gradual",16.5137614678899
"list",18,32,2.5747675,"framing",16.5137614678899
"list",18,32,7.635403,"dynamic",16.5137614678899
"list",19,32,3.068117,"gradual",17.4311926605505
"list",19,32,2.278563,"framing",17.4311926605505
"list",19,32,7.216844,"dynamic",17.4311926605505
"list",20,32,2.9713005,"gradual",18.348623853211
"list",20,32,2.3091475,"framing",18.348623853211
"list",20,32,7.211084,"dynamic",18.348623853211
"list",21,32,3.185465,"gradual",19.2660550458716
"list",21,32,2.3288655,"framing",19.2660550458716
"list",21,32,7.206952,"dynamic",19.2660550458716
"list",22,32,3.058955,"gradual",20.1834862385321
"list",22,32,2.2938705,"framing",20.1834862385321
"list",22,32,7.9837485,"dynamic",20.1834862385321
"list",23,32,3.0504035,"gradual",21.1009174311927
"list",23,32,2.32541,"framing",21.1009174311927
"list",23,32,8.051817,"dynamic",21.1009174311927
"list",24,32,3.3177515,"gradual",22.0183486238532
"list",24,32,2.2970605,"framing",22.0183486238532
"list",24,32,8.4101655,"dynamic",22.0183486238532
